term,category
अंतराल,Generic
अंदर,Generic
अंश,Generic
अउरा,Generic
अक्तूबर,Month Name
अक्सर,Generic
अगजा,Generic
अगता,Generic
अगर,Generic
अगले,Generic
अचार,Generic
अच्छा,Generic
अच्छी,Generic
अच्छे,Generic
अजवायन,Crop
अट्ठारह,Numeral
अठाइस,Numeral
अठारे,Numeral
अडवांटा,Generic
अड़हुल,Variety
अदरक,Crop
अदरत,Generic
अधरत,Symptom
अधिक,Generic
अनगड़ा,Generic
अनाज,Generic
अनार,Crop
अनुदान,Generic
अनुमान,Generic
अन्य,Generic
अपना,Generic
अप्रैल,Month Name
अब,Generic
अब्जी,Generic
अभी,Generic
अभी।,Generic
अमदुर,Generic
अमरलाता,Generic
अमरुद,Crop
अमरूद,Crop
अमृत,Generic
अरबी,Crop
अरहर,Crop
अरे,Generic
अलसी,Crop
अलुआ,Crop
अलुवा,Country/Place
अलैया,Generic
अल्पान,Generic
अवसक्ता,Generic
अवसियक,Generic
अशी,Generic
असर,Generic
असर।,Generic
असुर,Generic
अस्त्र,Generic
अस्सुगंधा,Crop
आ,Generic
आंवला,Crop
आई,Generic
आईएफसी,Generic
आए,Generic
आएंगे,Generic
आएगा,Generic
आएगा।,Generic
आओ,Generic
आकाशीय,Generic
आचार,Generic
आज,Generic
आजा,Generic
आज।,Generic
आठ,Numeral
आड़,Generic
आता,Generic
आदि,Generic
आद्रता,Generic
आधा,Numeral
आधी,Numeral
आना।,Generic
आने,Generic
आप,Generic
आपका,Generic
आपको,Generic
आपत,Generic
आपने,Generic
आम,Crop
आमके,Crop
आमदुरु,Generic
आया,Generic
आया।,Generic
आयिल,Chemical Name
आयुर्वेदिक,Generic
आये,Generic
आयेगा,Generic
आर,Generic
आर्मी,Generic
आलु,Crop
आलू,Crop
आलूआ,Crop
आवशक,Generic
आवश्यक,Generic
आवश्यकता,Generic
आवेगा,Generic
आसान,Generic
इ,Generic
इंडिया,Country/Place
इंसान,Generic
इकतालीस,Numeral
इकतीस,Numeral
इक्कावन,Numeral
इक्कीस,Numeral
इख,Crop
इटिका,Generic
इनकम,Generic
इनमें,Generic
इन्सेक्टीसाइड,Chemical Name
इरीगेशन,Agri Practice
इलाज,Agri Practice
इलाज,Agri Practice
इस,Generic
इसका,Generic
इसकी,Generic
इसके,Generic
इसको,Generic
इसपे,Generic
इसमें,Generic
इसलिए,Generic
इससे,Generic
इसी,Generic
इसीलिए,Generic
इस्तमाल,Generic
इस्तेमाल,Generic
इ।,Generic
ईंख,Crop
ईख,Crop
ईटी,Agri Practice
उ,Generic
उखटा,Generic
उखड़,Symptom
उखड़ा,Generic
उखरा,Generic
उखाड़ने,Agri Practice
उखाड़ा,Agri Practice
उगठा,Generic
उगता,Generic
उगती,Generic
उगने,Generic
उगा,Generic
उगाई,Agri Practice
उगाए,Agri Practice
उगाएं,Agri Practice
उगाना,Agri Practice
उगाना।,Agri Practice
उगानी,Agri Practice
उगाय,Agri Practice
उगाया,Agri Practice
उगाये,Agri Practice
उगे,Generic
उगो,Generic
उचित,Generic
उच्च,Generic
उजला,Generic
उजला,Generic
उजली,Generic
उज्जैन,Country/Place
उठका,Agri Practice
उठाना,Generic
उड़द,Crop
उड़ने,Generic
उड़वेत,Generic
उड़हुल,Generic
उड़ा,Generic
उतरेगा।,Generic
उत्का,Variety
उत्तम,Generic
उत्पादन,Generic
उदेश्य,Generic
उधर,Generic
उनका,Generic
उनको,Generic
उनसठ,Numeral
उनीस,Numeral
उन्तीस,Numeral
उन्नत,Generic
उन्नतशील,Generic
उन्नति,Generic
उन्नीस,Numeral
उपचार,Agri Practice
उपचारों,Agri Practice
उपचार,Agri Practice
उपज,Generic
उपजा,Generic
उपजाए,Generic
उपजाएं,Generic
उपजाएंगे,Agri Practice
उपजाना,Agri Practice
उपजाने,Generic
उपजाया,Generic
उपज,Generic
उपयुक्त,Generic
उपयोग,Generic
उपयोग।,Generic
उपर,Generic
उपरे,Generic
उपर्युक्त,Generic
उपसे,Generic
उपाए,Agri Practice
उपाय,Generic
उपायुक्त,Generic
उपाये,Agri Practice
उपाय,Agri Practice
उपेकता,Generic
उफरें,Symptom
उरद,Crop
उरिद,Crop
उर्दी,Crop
उर्बरक,Soil Nutrient/Fertiliser
उर्बरता,Generic
उर्लिया,Pest/Disease
उर्वर,Soil Nutrient/Fertiliser
उर्वरक,Soil Nutrient/Fertiliser
उवा,Generic
उसका,Generic
उसका,Generic
उसके,Generic
उसको,Generic
उसपर,Generic
उसपे,Generic
उसमे,Generic
उसमें,Generic
उसमें,Generic
उससे,Generic
उसे,Generic
ऊख,Crop
ऊपर,Generic
ऊपर,Generic
ऊपाय,Agri Practice
ए,Generic
एक,Numeral
एकड़,Agriculture unit
एकतालीस,Numeral
एकदम,Generic
एकानवे,Numeral
एक्स,Generic
एखन,Generic
एगारह,Numeral
एग्यारह,Numeral
एचडी,Variety
एडामा,Generic
एथी,Generic
एनपीएम,Generic
एनपीके,Soil Nutrient/Fertiliser
एनी,Generic
एप्पल,Crop
एबंग,Generic
एबार,Generic
एलेवन,Numeral
एलोमोजैक,Pest/Disease
एस,Generic
एसआरआई,Agri Practice
एसटीसा,Generic
एस्पीरियम,Generic
ऐंठा,Pest/Disease
ऐड,Generic
ऐडवांटा,Generic
ऐतराज,Generic
ऐसा,Generic
ऐसे,Generic
ऑक्साइड,Chemical Name
ऑटोमेटिक,Generic
ऑयस्टर,Generic
ऑल,Generic
ओकर,Generic
ओकरा,Generic
ओबेरॉन,Chemical Name
ओरी,Variety
ओल,Crop
और,Generic
और।,Generic
औषधि,Generic
औषधिय,Generic
औषधीय,Generic
क,Generic
कंठ,Generic
कंठा,Generic
कंथाली,Variety
कंद,Generic
कंपास,Generic
कंसीव,Generic
कओने,Generic
ककंबर,Crop
ककड़ी,Crop
कची,Generic
कचु,Generic
कट,Agri Practice
कटता,Generic
कटनी,Agri Practice
कटर।,Generic
कटहर,Crop
कटहल,Crop
कटहल,Crop
कटाई,Agri Practice
कटाएगा,Agri Practice
कटाता,Generic
कटिंग,Agri Practice
कटेगा,Generic
कटेगी,Generic
कट्टा,Generic
कट्ठा,Agriculture unit
कठे,Generic
कडूआ,Crop
कथि,Generic
कददुआ,Crop
कदीमा,Variety
कदुआ,Crop
कदूआ,Generic
कद्दुवा,Crop
कद्दू,Crop
कनी,Generic
कन्द,Generic
कपि,Pest/Disease
कपिल,Generic
कब,Generic
कबड़ाई,Agri Practice
कभी,Generic
कम,Generic
कमजोर,Generic
कमा,Generic
कम्पोस्ट,Soil Nutrient/Fertiliser
कय,Generic
कर,Generic
करके,Generic
करके।,Generic
करता,Generic
करते,Generic
करना,Generic
करना।,Generic
करने,Generic
करबो,Generic
करवा,Generic
करवाइए,Generic
करवाएं,Generic
कराये,Generic
करिले,Crop
करी,Generic
करू,Generic
करूं,Generic
करे,Generic
करें,Generic
करेंगा,Generic
करेंगे,Generic
करेंगे।,Generic
करें।,Generic
करेगा,Generic
करेगी,Generic
करेला,Crop
करेली,Crop
करे।,Generic
करैला,Crop
करो,Generic
कर,Generic
कल,Generic
कलर,Generic
कलस,Generic
कला,Generic
कल्ली,Agriculture unit
कस,Generic
कसन,Country/Place
कहके,Generic
कहता,Generic
कहा,Generic
कहाँ,Generic
कहिए,Generic
कहिना,Generic
का,Generic
काँटा,Generic
कांखी,Generic
काकड़ी,Crop
काखि,Generic
कागज,Generic
काची,Generic
काज,Generic
काट,Generic
काटके,Generic
काटे,Generic
काटें,Agri Practice
काठा,Chemical Name
काढ़ा,Generic
कान,Generic
कान्द,Crop
काभी,Generic
काम,Generic
कारण,Generic
कारण।,Generic
कारन,Generic
कार्बेन्डाजिम,Chemical Name
काली,Generic
काहा,Generic
काहा।,Generic
काहे,Generic
का।,Generic
कि,Generic
किक,Generic
किचन,Generic
किट,Generic
किटंनाशक,Chemical Name
किटनाशक,Chemical Name
किटनाशी,Chemical Name
किटाणु,Pest/Disease
किटानो,Pest/Disease
किड़ा,Pest/Disease
कितना,Generic
कितनी,Generic
कितने,Generic
कितनो,Generic
किया,Generic
किया।,Generic
किये,Generic
किरौनि,Variety
किरौनी,Variety
किला,Generic
किश्त,Generic
किश्त,Generic
किस,Generic
किसको,Generic
किसान,Generic
किस्म,Variety
किस्मे,Variety
किस्में,Variety
किस्में,Variety
किस्मे,Variety
किस्से,Generic
की,Generic
कीट,Pest/Disease
कीटनाशक,Generic
कीटनाशक,Chemical Name
कीटनाशी,Chemical Name
कीटाणु,Pest/Disease
कीटो,Pest/Disease
कीटों,Pest/Disease
कीड़कनाशी,Chemical Name
कीड़र,Pest/Disease
कीड़ा,Pest/Disease
कीड़ा।,Pest/Disease
कीड़े,Pest/Disease
कीपुरी,Generic
कीमत।,Generic
कीया,Pest/Disease
कीवी,Crop
की,Generic
कुआ,Generic
कुआं,Generic
कुकड़ा,Pest/Disease
कुकड़ी,Crop
कुकुड़ा,Generic
कुकुम्बर,Crop
कुछ,Generic
कुछ,Generic
कुड़ाई,Agri Practice
कुदुआ,Agri Practice
कुम्भ,Generic
कुम्हड़ा,Crop
कुम्हरा,Crop
कुराई,Agri Practice
कृपया,Generic
कृषको,Generic
कृषि,Generic
के,Generic
केंचुआ,Generic
केचुआ,Generic
केचुवा,Generic
केजी,Agriculture unit
केजी,Agriculture unit
केतना,Generic
केतारी,Pest/Disease
केथर,Variety
केना,Generic
केमिकल,Chemical Name
केला,Crop
केले,Crop
केवो,Generic
केसु,Crop
कै,Generic
कैची,Generic
कैल्शियम,Soil Nutrient/Fertiliser
कैसन,Generic
कैसा,Generic
कैसी,Generic
कैसे,Generic
कैसे-कैसे,Generic
कॉर्न,Crop
कॉलीफरोक्त,Crop
को,Generic
कोई,Generic
कोऑर्डिनेटर,Generic
कोकरी,Crop
कोठी,Agriculture unit
कोड,Generic
कोड़कर,Generic
कोड़ाई,Agri Practice
कोडाई,Agri Practice
कोनि,Generic
कोने,Generic
कोनो,Generic
कोभी,Crop
कोराई,Agri Practice
कोराजन,Generic
कोहड़ा,Crop
को।,Generic
कौन,Generic
कौन-कौन,Generic
कौन-सा,Generic
कौनसा,Generic
कौनसी,Generic
कौन,Generic
क्या,Generic
क्या-क्या,Generic
क्यू,Generic
क्यूँ,Generic
क्यूब,Generic
क्यों,Generic
क्रिया,Generic
क्रॉप,Generic
क्रोमा,Generic
क्लोरानट्रानिलीप्रोल,Chemical Name
क्लोरेंट्रनिलीपरोल,Chemical Name
क्लोरोपायरीफॉस,Chemical Name
क्वालिटी,Generic
क्षमता,Generic
खंड,Generic
खखड़,Generic
खड़,Generic
खतम,Generic
खत्म,Generic
खनाइ,Agri Practice
खन्ने,Generic
खरपतवार,Generic
खराप,Generic
खराबी,Symptom
खरी,Season Name
खरीफ़,Season Name
खरों,Generic
खर्च,Generic
खल,Soil Nutrient/Fertiliser
खल्ली,Generic
खसी,Generic
ख़राब,Generic
ख़रीदे,Generic
खा,Generic
खांस,Symptom
खांसने,Symptom
खाए,Generic
खाएं,Generic
खाता,Generic
खातिरदारी,Agri Practice
खाद,Soil Nutrient/Fertiliser
खादक,Generic
खाद्य,Generic
खाद्य।,Generic
खाद,Soil Nutrient/Fertiliser
खाने,Generic
खाया,Generic
खारा,Generic
खाल,Generic
खिरा,Crop
खिरिफ्स,Season Name
खिलने,Generic
खिलाए,Generic
खिलाएं,Generic
खिलाएं।,Generic
खिलाया,Generic
खीर,Generic
खीरा,Crop
खीरे,Crop
खुरपका,Generic
खुरा,Generic
खुल,Generic
खुली,Generic
खू,Generic
खेत,Agriculture unit
खेतारी,Agri Practice
खेती,Agri Practice
खेती।,Agri Practice
खेतों,Agriculture unit
खेत,Agriculture unit
खेसारी,Crop
खैनी,Generic
खोखोम,Generic
खोजना,Generic
खोलें,Generic
गंधी,Generic
गए।,Generic
गणना,Generic
गति,Generic
गति,Generic
गधे,Generic
गनेरा,Generic
गन्ना,Crop
गन्ने,Crop
गभी,Crop
गया,Generic
गया,Country/Place
गरबे।,Crop
गरमा,Season Name
गर्मा,Season Name
गर्मियों,Season Name
गल,Generic
गलका,Generic
गलकी,Pest/Disease
गलके,Generic
गलत,Generic
गलने,Symptom
गलय,Symptom
गली,Generic
गलुआ,Generic
गाँव,Country/Place
गां,Generic
गांजा,Crop
गांठ,Symptom
गांड,Generic
गाछ,Generic
गाजर,Crop
गाभा,Generic
गाभिन,Generic
गामा,Generic
गामो,Generic
गाय,Generic
गायन,Generic
गार्डन,Country/Place
गिओ,Generic
गिन्हारी,Generic
गिया,Crop
गिये,Generic
गिर,Generic
गिरना,Generic
गिरने,Generic
गिरा,Generic
गिराने,Generic
गिरा।,Generic
गिरे,Generic
गिरेगा,Generic
गिरेगा।,Generic
गिलसी,Generic
गिल्ट,Generic
गीर,Variety
गुजरात,Country/Place
गुड़,Generic
गुण,Generic
गुलाब,Crop
गुलाबी,Generic
गूगल,Generic
गेंदा,Crop
गेंहु,Crop
गेंहू,Crop
गेहू,Crop
गेहूँ,Crop
गेहूं,Crop
गेहूं।,Crop
गैस,Generic
गो,Generic
गोगड़ी,Crop
गोभा,Generic
गोभी,Crop
गोम,Generic
गोरख,Country/Place
गोलीआ,Generic
ग्राम,Crop
ग्रास,Generic
ग्रेपस,Crop
ग्रेस,Generic
ग्रोथ,Generic
घंटा,Generic
घटना,Generic
घड़ी,Generic
घन,Generic
घना,Generic
घर,Generic
घरेलू,Generic
घरेलू,Generic
घसलन,Agri Practice
घाम,Generic
घाव,Symptom
घास,Crop
घास।,Crop
घीउड़ा,Pest/Disease
घुंडी,Agriculture unit
घेउड़ा,Generic
घेउडा,Pest/Disease
घेवड़ा,Crop
घेवडा,Generic
घेवरा,Generic
घोड़पराश,Generic
घौद,Generic
चंदेरी,Country/Place
चक्र,Generic
चढ़ाने,Generic
चना,Crop
चपाइ,Agri Practice
चरकलाम,Generic
चर्चा,Generic
चल,Generic
चलाय,Generic
चलेगा,Generic
चलेगा,Generic
चलेगी,Generic
चलो,Generic
चा,Generic
चाइनीज,Country/Place
चाट,Generic
चाटता,Generic
चाना,Crop
चार,Numeral
चारसो,Numeral
चारा,Generic
चाले,Generic
चाहता,Generic
चाहते,Generic
चाहते,Generic
चाहिए,Generic
चाहिए,Generic
चिंटू,Generic
चिक्स,Generic
चिज,Generic
चित्ता,Generic
चिलेगी,Generic
चिलेटेड,Soil Nutrient/Fertiliser
चिल्ड्रन,Generic
ची,Generic
चीज,Generic
चीज़,Generic
चीजे,Generic
चु,Generic
चुकुन्दर,Crop
चुके,Generic
चुता,Generic
चूसक,Generic
चूहा,Pest/Disease
चेक।,Generic
चेचक,Pest/Disease
चैट,Generic
चैटी,Generic
चैत्र,Month Name
चैनल,Generic
चैप,Generic
चौआलिस।,Numeral
चौड़,Generic
चौड़ी,Generic
चौतीस,Numeral
चौदह,Numeral
चौबीस,Numeral
चौरा,Crop
चौराही,Generic
चौरी,Generic
चौवालीस,Numeral
छ,Generic
छः,Numeral
छत्र,Generic
छबीस,Numeral
छब्बीस,Numeral
छह,Numeral
छहर,Generic
छापारा,Generic
छालम्पोडोनिआ,Generic
छाहा,Generic
छिट,Agri Practice
छिटकाव,Agri Practice
छिटना,Agri Practice
छिटनी,Agri Practice
छिटाता,Generic
छिटाना,Agri Practice
छिटाय,Agri Practice
छिटायगा,Agri Practice
छिटाये,Agri Practice
छिटायेगा,Agri Practice
छिड़कना,Agri Practice
छिड़का,Agri Practice
छिड़काना,Agri Practice
छिड़काव,Agri Practice
छिड़काव,Agri Practice
छिड़के,Agri Practice
छिड़कें,Agri Practice
छिड़केगा,Agri Practice
छिड़खाने,Agri Practice
छिड़े,Agri Practice
छिता,Generic
छियासी,Numeral
छिलकाव,Agri Practice
छींट,Agri Practice
छींटना,Agri Practice
छींटने,Agri Practice
छींटा,Agri Practice
छींटाइ,Agri Practice
छींटाएगा,Agri Practice
छींटाता,Agri Practice
छींटे,Agri Practice
छींटें,Agri Practice
छींटेगा,Agri Practice
छींटे,Agri Practice
छीटना,Agri Practice
छीटने,Agri Practice
छीटा,Generic
छीटायगा,Agri Practice
छीटे,Agri Practice
छीटेगा,Agri Practice
छीडकाव,Agri Practice
छीननी,Agri Practice
छीनी,Generic
छीमी,Pest/Disease
छुटकने,Generic
छुट्टे,Generic
छुड़ना,Generic
छूके,Generic
छेड़,Generic
छेद,Generic
छेदक,Pest/Disease
छेदक,Pest/Disease
छेना,Generic
छोटा,Generic
छोटा-छोटा,Generic
छोटा-छोटा,Generic
छोटे-छोटे,Generic
छोड़,Generic
छौराही,Generic
जड़,Generic
जड़ी,Generic
जड़ो,Generic
जतय।,Generic
जनम,Generic
जनेर,Generic
जन्मते,Generic
जन्मदिन,Generic
जन्मा,Generic
जब,Generic
जमा,Generic
जर,Symptom
जरा,Generic
जरिए,Generic
जरुरत,Generic
जरूरत,Generic
जर्मिनेशन,Agri Practice
जल,Generic
जलजमाव,Symptom
जलन,Symptom
जलने,Symptom
जलम,Symptom
जलमा,Generic
जलवायु।,Generic
जला,Symptom
जलाने,Agri Practice
जलोट,Generic
जल्दी,Generic
जवाब,Generic
जहर,Generic
जहा,Generic
ज़िला,Agriculture unit
जा,Generic
जाँच,Generic
जांच,Agri Practice
जांच,Generic
जाइए,Generic
जाए,Generic
जाएं,Generic
जाएगा,Generic
जाएगा।,Generic
जाएगी,Generic
जाएगी।,Generic
जाए।,Generic
जाता,Generic
जाति,Generic
जाती,Variety
जाते,Generic
जान,Generic
जानकारी,Generic
जानकारी,Generic
जानते,Generic
जानवर,Generic
जाना।,Generic
जानी,Generic
जाम,Generic
जामा,Generic
जाय,Generic
जाये,Generic
जायेगा,Generic
जाये,Generic
जाय,Generic
जावे,Generic
जिंक,Soil Nutrient/Fertiliser
जिला,Country/Place
जिले,Country/Place
जिसको,Generic
जिसमे,Generic
जिसमें,Generic
जिससे,Generic
जी,Generic
जीरा,Crop
जीरा,Crop
जीरो,Numeral
जीला,Agriculture unit
जीवामृत,Soil Nutrient/Fertiliser
जु,Generic
जुतनी,Generic
जुताई,Agri Practice
जूँ,Pest/Disease
जे,Generic
जेठुआ,Generic
जेठुवा,Variety
जेल,Generic
जेली,Generic
जैविक,Agri Practice
जैसा,Generic
जैसे,Generic
जो,Crop
जौ,Crop
ज्यादा,Generic
ज्यादे,Generic
ज्वाइन,Generic
झंझरी,Generic
झड़,Symptom
झड़क,Agri Practice
झड़का,Symptom
झड़ने,Generic
झड़े,Symptom
झड़ेगा,Generic
झर,Generic
झरका,Generic
झरता,Symptom
झरना,Generic
झरवाये,Symptom
झरा,Symptom
झरिया,Country/Place
झाड़,Generic
झाड़का,Agri Practice
झार,Generic
झींगा,Generic
झीवड़ा,Generic
झीसी,Generic
झुक,Generic
झुराने,Symptom
झुलसा,Symptom
झोंकरा,Generic
टमाटर,Crop
टहनी,Generic
टाइप,Generic
टाइम,Generic
टारगेट,Generic
टिकट,Generic
टिकता,Generic
टिका,Generic
टिकाऊ,Generic
टिकोला,Generic
टिन्डे,Crop
टियोकोनाजोल,Chemical Name
टिल,Crop
टिलेज,Agri Practice
टीक,Agri Practice
टीका,Agri Practice
टीकोला,Generic
टीमैक्स,Chemical Name
टुला,Agriculture unit
टू,Generic
टेंपरेचर,Generic
टेन,Numeral
टेयर,Generic
टेस्ट,Generic
टैगराइड,Chemical Name
टॉनिक,Generic
ट्रिप,Generic
ट्रैप,Agri Practice
ठडिया,Generic
ठहर,Generic
ठाक,Generic
ठीक,Generic
ठुनगी,Generic
डंगा,Generic
डबल,Generic
डलाएगा,Generic
डलेगा,Generic
डहनी,Generic
डांट,Generic
डाल,Generic
डालके,Generic
डालते,Generic
डालना,Generic
डालने,Generic
डाला,Generic
डालायगा,Generic
डालिए,Generic
डालू,Generic
डाले,Generic
डालें,Generic
डालेंगे,Generic
डालें।,Generic
डालो,Generic
डिग्री,Generic
डिटेल,Generic
डियर,Generic
डिले,Generic
डिसमील,Generic
डी,Generic
डीएपी,Soil Nutrient/Fertiliser
डीप,Generic
डीवार्मिंग,Agri Practice
डेकेन,Country/Place
डेली,Generic
डेसिमल,Numeral
डोक्युनाशन,Generic
डोज,Generic
डोज़,Generic
ड्रीम,Generic
ड्रैस,Generic
ढंग,Generic
ढट्टा,Generic
ढस,Agriculture unit
ढ़ैचा,Crop
ढाचा,Generic
ढाट,Generic
ढाटा,Generic
ढिंचा,Crop
ढैंचा,Crop
ढैचाल,Soil Nutrient/Fertiliser
तंग,Generic
तंबाकू,Crop
तक,Generic
तत्व,Generic
तत्वों,Generic
तन,Generic
तना,Generic
तनाछेदक,Generic
तने,Generic
तब,Generic
तमाकु,Crop
तरने,Generic
तरबूज,Crop
तरबूजा,Crop
तरसो,Generic
तरह,Generic
तरीका,Agri Practice
तरीका,Agri Practice
तहा,Generic
ता,Generic
ताकि,Generic
तान्या,Generic
तारीख।,Generic
तिल,Crop
तीन,Numeral
तीनसौ,Numeral
तील,Crop
तीशी,Generic
तीस,Numeral
तीसरा,Numeral
तीसरी,Numeral
तीसी,Generic
तु,Generic
तुड़ी,Crop
तू,Generic
तेइस,Numeral
तेईस,Numeral
तेरह,Numeral
तेल,Generic
तैंतालीस,Numeral
तैतीस,Numeral
तैयार,Generic
तैयारी,Agri Practice
तैसे,Generic
तो,Generic
तोड़के,Generic
तोड़ाई,Agri Practice
तोड़ी,Crop
तोप,Generic
तोर,Crop
तोरा,Generic
तोरि,Crop
तोरी,Crop
तोरे,Generic
तोसी,Crop
तो,Generic
थन,Generic
थनैल,Generic
थनैला,Generic
था,Generic
थाम,Generic
था।,Generic
थी,Generic
थी,Generic
थे,Generic
थे।,Generic
थोड़ा,Generic
दर,Generic
दरमान,Agri Practice
दलहन,Crop
दवा,Generic
दवाइयां,Generic
दवाई,Generic
दवाई,Generic
दवा,Generic
दस,Numeral
दस्त,Symptom
दाग,Symptom
दाग,Symptom
दाना,Generic
दाने,Generic
दानों,Generic
दाम,Generic
दामा,Pest/Disease
दार,Generic
दारू,Generic
दाल,Crop
दावा,Generic
दावा,Generic
दिए,Generic
दिख,Generic
दिखाइए,Generic
दिखाइए,Generic
दिखाए,Generic
दिन,Generic
दिनभर,Generic
दिनों,Generic
दिन,Generic
दिया,Generic
दियारा,Agriculture unit
दिया।,Generic
दी,Generic
दीं,Generic
दीजिए,Generic
दीजिएगा,Generic
दीजिये,Generic
दीजिये,Generic
दीदी,Generic
दुरी,Agri Practice
दू,Generic
दूँ,Generic
दूध,Generic
दूधथे,Generic
दूरी,Generic
दूसरा,Numeral
दूसरी,Numeral
दूसरे,Numeral
दे,Generic
दें,Generic
देंगे,Generic
दें।,Generic
देख,Generic
देखके,Generic
देखभाल,Agri Practice
देखभाल,Agri Practice
देखिए,Generic
देखिये,Generic
देखेगा,Generic
देगा,Generic
देगी,Generic
देता,Generic
देती,Generic
देते,Generic
देना,Generic
देनी,Country/Place
देने,Generic
देर,Generic
देवी।,Generic
देवे,Generic
देसी,Generic
दे,Generic
दो,Numeral
दोनों,Generic
दोपी,Generic
दोबारा,Generic
दो,Numeral
द्रव,Generic
द्वारा,Generic
द्वारा।,Generic
ध,Generic
धड़,Generic
धन,Crop
धना,Crop
धनिया,Crop
धनीवन,Generic
धनैरा,Country/Place
धन्यवाद,Generic
धब्बा,Symptom
धब्बे,Symptom
धर,Generic
धरता,Generic
धरने,Generic
धरा,Generic
धरे,Generic
धरोगा,Generic
धान,Crop
धाम,Generic
धुप,Generic
धूप,Generic
धैचा,Crop
धोकर,Generic
धोया।,Generic
धोये,Generic
ध्येचा,Generic
न,Generic
नगदी,Generic
नज़दीक,Generic
नब्बे,Numeral
नमी,Generic
नया,Generic
नल,Generic
नश,Generic
नस्ल,Variety
नही,Generic
नहीं,Generic
नहीं।,Generic
ना,Generic
नाका,Generic
नानकी,Variety
नाम,Generic
नाम।,Generic
नाल,Agriculture unit
नाशी,Generic
नासिक,Country/Place
नासी,Generic
नाहाने,Generic
ना।,Generic
निकल,Generic
निकलना,Generic
निकलने,Generic
निकलेगा,Generic
निकले।,Generic
निकाई,Agri Practice
निकाले,Generic
निकासी,Agri Practice
निगरानी,Agri Practice
निजमा,Generic
निदान,Agri Practice
निनुवा,Country/Place
निन्यानबे,Numeral
निमास्त्र,Chemical Name
नियंत्रित,Generic
नियन,Generic
नियोपेप्टी,Chemical Name
निर्लय,Generic
निवारण,Agri Practice
नींग,Generic
नींदने,Generic
नींबू,Crop
नीचे,Generic
नीम,Generic
नीमास्त्र,Chemical Name
नील,Crop
नीलगाय,Generic
नुकसान,Generic
नुन्नी,Generic
नूंछी,Variety
ने,Generic
नेनवा,Generic
नेनुआ,Crop
नैनो,Generic
नौ,Numeral
नौर,Generic
प,Generic
पंक्ति,Agriculture unit
पंगास,Generic
पंद्रह,Numeral
पक,Generic
पकड़,Generic
पकड़ने,Generic
पकड़ा,Generic
पकड़े,Generic
पकड़ेगा,Generic
